test,heuristicType,dimension,constraints,operations,solutionFound,second
86,1,9,35,1000000,false,0.5704
86,2,9,35,1000000,false,7.141
86,3,9,35,1000000,false,8.539399999999999
86,4,9,35,1000000,false,16.1648
87,0,9,41,1000000,false,0.3508
87,1,9,41,1000000,false,0.6116
87,2,9,41,1000000,false,8.361
87,3,9,41,1000000,false,10.6428
87,4,9,41,1000000,false,32.0342
88,0,9,44,1000000,false,0.34
88,1,9,44,1000000,false,0.6552
88,2,9,44,1000000,false,7.5846
88,3,9,44,1000000,false,9.5948
88,4,9,44,1000000,false,32.050599999999996
89,0,9,29,1000000,false,0.3178
89,1,9,29,1000000,false,0.6123999999999999
89,2,9,29,1000000,false,5.7518
89,3,9,29,1000000,false,9.3632
89,4,9,29,1000000,false,21.807
90,0,9,31,1000000,false,0.3394
90,1,9,31,1000000,false,0.6537999999999999
90,2,9,31,1000000,false,9.672600000000001
90,3,9,31,1000000,false,8.5678
90,4,9,31,1000000,false,40.266
91,0,9,30,1000000,false,0.30060000000000003
91,1,9,30,1000000,false,0.5926
91,2,9,30,1000000,false,6.071
91,3,9,30,1000000,false,8.921
91,4,9,30,237960,true,5.7184
92,0,9,22,474917,true,0.1472
92,1,9,22,403066,true,0.2248
92,2,9,22,1000000,false,7.1696
92,3,9,22,1000000,false,9.261
92,4,9,22,1000000,false,23.209400000000002
93,0,9,42,1000000,false,0.326
93,1,9,42,1000000,false,0.577
93,2,9,42,1000000,false,6.933
93,3,9,42,1000000,false,9.416799999999999
93,4,9,42,1000000,false,29.2744
94,0,9,32,1000000,false,0.389
94,1,9,32,1000000,false,0.7697999999999999
94,2,9,32,1000000,false,13.994
94,3,9,32,1000000,false,10.8986
94,4,9,32,1000000,false,18.3454
95,0,9,42,1000000,false,0.38980000000000004
95,1,9,42,1000000,false,0.6648
95,2,9,42,1000000,false,10.576
95,3,9,42,1000000,false,14.7524
95,4,9,42,1000000,false,54.553
96,0,9,39,1000000,false,0.3282
96,1,9,39,1000000,false,0.6264
96,2,9,39,1000000,false,7.477600000000001
96,3,9,39,1000000,false,8.9314
96,4,9,39,1000000,false,18.9828
97,0,9,42,1000000,false,0.38139999999999996
97,1,9,42,1000000,false,0.6694
97,2,9,42,1000000,false,8.0358
97,3,9,42,1000000,false,10.8094
97,4,9,42,1000000,false,50.027800000000006
98,0,9,28,1000000,false,0.3432
98,1,9,28,1000000,false,0.6076
98,2,9,28,1000000,false,5.587
98,3,9,28,1000000,false,8.119
98,4,9,28,1000000,false,28.4136
99,0,9,34,1000000,false,0.29960000000000003
99,1,9,34,1000000,false,0.6207999999999999
99,2,9,34,1000000,false,7.392600000000001
99,3,9,34,1000000,false,10.795399999999999
99,4,9,34,1000000,false,26.3476
100,0,9,38,1000000,false,0.3424
100,1,9,38,1000000,false,0.6246
100,2,9,38,1000000,false,4.982600000000001
100,3,9,38,1000000,false,7.205
100,4,9,38,1000000,false,26.980400000000003
